"target","latestRunStatus","projectName","exportDir","functions","durableLabels","namedFunctionCoveragePercent","defaultNamedFunctions","thunkFunctions","externalFunctions","imports","interestingImports","strings","interestingStrings","stringXrefs","selectedFunctions","unselectedFunctions","selectedForDecompile","fullFunctionDecompilePercent","canonicalCacheFragments","canonicalCachePercent","remainingUncachedFragments","totalInternalFunctions","selectionAuditRows","selectionAuditSelectedForDecompile","labelAnchoredSelections","targetAnchoredSelections","importAnchoredSelections","stringAnchoredSelections","manifestSelectedCount","reusedFragments","decompiledFragments"
"Houston64.exe","","","Decomp/Analysis/exports/Houston64.exe","25129","7889","31.39","17240","106","0","733","26","29460","8089","2857","1631","23498","50","0.2","25129","100","0","25129","1631","50","384","76","1000","654","50","50","0"
"StsConnLib64.MT.dll","","","Decomp/Analysis/exports/StsConnLib64.MT.dll","4522","376","8.31","4146","55","0","182","18","10893","3406","2569","864","3658","864","19.11","4522","100","0","4522","864","864","32","62","33","831","864","864","0"
"WildStar64.exe","success","NexusForeverClient64_WildStar64","Decomp/Analysis/exports/WildStar64.exe","25050","2028","8.1","23022","32","0","384","36","45034","16648","8746","3738","21312","500","2","25149","100.4","0","25050","3738","500","2132","481","70","2450","500","500","0"
